storage,t,state_kWh,p_charge_kW,p_discharge_kW
B10, 02/25  01:00:00,25.0,0.0,10.0
B10, 02/25  02:00:00,29.51138268469442,4.748823878625709,0.0
B10, 02/25  03:00:00,33.885041339509755,4.603853093741763,0.0
B10, 02/25  04:00:00,38.59686844793344,4.959819686540477,0.0
B10, 02/25  05:00:00,42.4544985839459,4.060663301065613,0.0
B10, 02/25  06:00:00,43.999147170643866,1.6259466122832356,0.0
B10, 02/25  07:00:00,33.47285144158909,0.0,9.999982003804371
B10, 02/25  08:00:00,25.335836068978878,0.0,7.730166062102151
B10, 02/25  09:00:00,14.80952113069478,0.0,10.0
B10, 02/25  10:00:00,10.000017927323304,0.0,4.569028837417886
B10, 02/25  11:00:00,17.50326831096651,7.8981582985719765,0.0
B10, 02/25  12:00:00,27.003265831689593,10.0,0.0
B10, 02/25  13:00:00,36.50326556294239,10.0,0.0
B10, 02/25  14:00:00,46.00326497909044,10.0,0.0
B10, 02/25  15:00:00,55.503238345652704,9.999974564735389,2.3484355777337715e-06
B10, 02/25  16:00:00,54.995272198045086,0.0,0.48256831787309
B10, 02/25  17:00:00,44.46895708239312,0.0,10.0
B10, 02/25  18:00:00,33.942649103241266,0.0,9.999993403393995
B10, 02/25  19:00:00,25.228862162631472,0.0,8.27809859007772
B10, 02/25  20:00:00,24.208359488258225,0.0,0.969478231561883
B10, 02/25  21:00:00,23.74391209928504,0.0,0.4412255270279949
B10, 02/25  22:00:00,23.7438673612134,0.0,4.302453988715379e-05
B10, 02/25  23:00:00,23.744754909703712,0.0009360181792356659,0.0
B10, 02/25  24:00:00,25.0,1.321310621364515,0.0
B17, 02/25  01:00:00,25.0,0.0,10.0
B17, 02/25  02:00:00,34.5,10.0,0.0
B17, 02/25  03:00:00,43.999998026751314,10.0,0.0
B17, 02/25  04:00:00,53.499997405543446,10.0,0.0
B17, 02/25  05:00:00,62.999996620925266,10.0,0.0
B17, 02/25  06:00:00,72.4999565781227,9.999959193708767,0.0
B17, 02/25  07:00:00,75.48913356547125,3.146503613729675,0.0
B17, 02/25  08:00:00,76.34737005760479,0.9034079302314136,0.0
B17, 02/25  09:00:00,73.6564509867266,0.0,2.5563739783685047
B17, 02/25  10:00:00,73.6562996253952,0.0,0.00014449920173799577
B17, 02/25  11:00:00,73.62057103626648,0.0,0.0339427483997147
B17, 02/25  12:00:00,69.88483212451095,2.0200354751907414e-06,3.548953789349427
B17, 02/25  13:00:00,72.0140316284414,2.2412626357183014,0.0
B17, 02/25  14:00:00,72.01535612127796,0.0013958528265779378,0.0
B17, 02/25  15:00:00,72.01531491426677,0.0,3.97506320672659e-05
B17, 02/25  16:00:00,63.91387016216134,0.0,7.696373991626283
B17, 02/25  17:00:00,53.387555137790464,0.0,10.0
B17, 02/25  18:00:00,42.8612400991088,0.0,10.0
B17, 02/25  19:00:00,32.33492539262173,0.0,10.0
B17, 02/25  20:00:00,21.808615640718294,0.0,9.999995013672487
B17, 02/25  21:00:00,12.827568989609064,0.0,8.53199548200194
B17, 02/25  22:00:00,10.0,0.0,2.6861903855869107
B17, 02/25  23:00:00,15.5000054601027,5.789481562997104,0.0
B17, 02/25  24:00:00,25.0,9.999994252523473,0.0
