bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B14,0,8,391.81995752463376,0.0,13.320698859999998,8.3264652,-0.0
B14,0,9,389.45600716956767,0.0,18.10812498,9.989925219,-0.0
B14,0,10,392.7532255704946,0.0,18.516659,8.724664982,-0.0
B14,0,11,396.46388657351514,0.0,18.31545684,8.073092485,-0.0
B14,0,12,397.9048609050415,0.0,18.75163283,7.819181801,-0.0
B14,0,13,401.1919484604478,0.0,12.67437725,5.401283114,-0.0
B14,0,14,399.65045053310655,0.0,12.17677752,5.333028364999999,-0.0
B14,0,15,397.77371605730065,0.0,12.1258511,5.295676168,-0.0
B14,0,16,394.8619610063079,0.0,12.19507976,5.401173629,-0.0
B14,0,17,391.8363360938527,0.0,12.48968696,6.141078869,-0.0
B14,0,18,393.64347959764945,0.0,9.758411752,5.054856662,-0.0
B14,0,19,393.9220775414894,0.0,9.754932567,5.63643834,-0.0
B14,0,20,395.0072022445582,0.0,8.152062754000001,5.116841398,-0.0
B14,0,21,394.82733580443596,0.0,8.152062754000001,5.680262481,-0.0
B14,0,22,394.6539713913017,0.0,8.152062754000001,6.222091556,-0.0
B14,0,23,394.6806184296768,0.0,8.152062754000001,6.138887635,-0.0
B14,0,24,394.67204313895996,0.0,8.152062754000001,6.1656666,-0.0
B15,0,1,395.51107759620504,0.0,12.22809413,7.345339208,8.0
B15,0,2,395.26694011740096,0.0,12.22809413,8.565040133,8.0
B15,0,3,395.2624555276887,0.0,12.22809413,8.587408598,8.0
B15,0,4,395.2766914170089,0.0,12.22809413,8.516397598,8.0
B15,0,5,395.24977528574607,0.0,12.22809413,8.650648735,8.0
B15,0,6,395.286980264071,0.0,12.22809413,8.46506689,8.0
B15,0,7,391.59429509198105,0.0,19.85020622,13.07497764,8.0
B15,0,8,392.0927573328625,0.0,19.9810483,12.4896978,8.0
B15,0,9,389.44663516877245,0.0,27.16218746,14.98488783,8.0
B15,0,10,391.18833428035566,0.0,27.774988499999996,13.08699747,8.0
B15,0,11,393.20355836710377,0.0,27.473185270000002,12.10963873,8.0
B15,0,12,393.8552889256998,0.0,28.12744924,11.7287727,8.0
B15,0,13,397.3772779920739,0.0,19.01156588,8.101924671,8.0
B15,0,14,396.7382210406286,0.0,18.26516628,7.999542548,8.0
B15,0,15,395.814624951469,0.0,18.18877664,7.943514251000001,8.0
B15,0,16,394.32001854686473,0.0,18.29261964,8.101760443,8.0
B15,0,17,392.620247181094,0.0,18.73453043,9.211618304,8.0
B15,0,18,394.36787845305355,0.0,14.63761763,7.582284993,8.0
B15,0,19,394.4270077662035,0.0,14.63239885,8.45465751,8.0
B15,0,20,395.4451166671443,0.0,12.22809413,7.675262097000001,8.0
B15,0,21,395.2758903524794,0.0,12.22809413,8.520393721,8.0
B15,0,22,395.11279576715714,0.0,12.22809413,9.333137334,8.0
B15,0,23,395.13786336901865,0.0,12.22809413,9.208331452,8.0
B15,0,24,395.129796320037,0.0,12.22809413,9.248499899,8.0
B17,0,1,399.1958679568995,0.0,8.916325289,0.0,-0.0
B17,0,2,399.4222473463915,0.0,6.409933852000001,0.0,-0.0
B17,0,3,399.28332289438424,0.0,7.948402099,0.0,-0.0
B17,0,4,399.4318275104328,0.0,6.303801196,0.0,-0.0
B17,0,5,398.985972306294,0.0,11.23760391,0.0,-0.0
B17,0,6,397.9416408242256,0.0,22.74981023,0.0,-0.0
B17,0,7,397.67272045814644,0.0,25.704231060000005,0.0,-0.0
B17,0,8,397.3750341939335,0.0,28.96990175,0.0,-0.0
B17,0,9,396.80493381323106,0.0,35.2100091,0.0,-0.0
B17,0,10,396.35123899450116,0.0,40.16286853,0.0,-0.0
B17,0,11,395.50744096379117,0.0,49.34353976,0.0,-0.0
B17,0,12,394.68328669672525,0.0,58.27187136,0.0,-0.0
B17,0,13,395.35530996374246,0.0,50.9944929,0.0,-0.0
B17,0,14,395.65945211897787,0.0,47.69258661,0.0,-0.0
B17,0,15,395.9631169463286,0.0,44.39068032,0.0,-0.0
B17,0,16,395.9587799711791,0.0,44.437873659999994,0.0,-0.0
B17,0,17,395.4333910648042,0.0,50.14730501,0.0,-0.0
B17,0,18,395.3600592071561,0.0,50.94297290000001,0.0,-0.0
B17,0,19,395.66319999280313,0.0,47.65186781,0.0,-0.0
B17,0,20,395.9668587350207,0.0,44.34996152000001,0.0,-0.0
B17,0,21,396.270041352103,0.0,41.04805523,0.0,-0.0
B17,0,22,396.5727496861945,0.0,37.74614894,0.0,-0.0
B17,0,23,398.1438239587085,0.0,20.52587851,0.0,-0.0
B17,0,24,398.7889004960811,0.0,13.41477655,0.0,-0.0
B18,0,1,399.8417736606305,0.0,2.468871073,-0.593478623,-0.0
B18,0,2,399.8417736606305,0.0,2.468871073,-0.593478623,-0.0
B18,0,3,399.84123833468686,0.0,2.468871073,-0.581609051,-0.0
B18,0,4,399.84077020404413,0.0,2.468871073,-0.569739478,-0.0
B18,0,5,399.84327882538474,0.0,2.468871073,-0.629087341,-0.0
B18,0,6,399.83833319332615,0.0,2.468871073,-0.512087269,-0.0
B18,0,7,399.83339207904027,0.0,2.468871073,-0.39520024099999995,-0.0
B18,0,8,400.19047758594616,8.080500000000002,5.445183487,0.11851632900000002,-0.0
B18,0,9,400.4421071657526,19.4045,11.62937387,3.174793894,-0.0
B18,0,10,401.22949614100116,40.328,20.18588059,6.158131321,-0.0
B18,0,11,402.4286841268622,63.8915,26.024541860000003,8.597393293,-0.0
B18,0,12,403.3403014715156,75.4585,25.39649501,8.105297638999998,-0.0
