i,j,type,length_km,z,R_pu,cost_line
B22,B24,2 Al,0.08246211251235307,3.3892248854762022e-09,0.32,35000
B22,B24,4/0 Al,0.08246211251235307,1.0000000007244005,0.22499999999999998,42000
B22,B28,2 Al,0.09055385138137424,3.5760922232031343e-09,0.32,35000
B22,B28,4/0 Al,0.09055385138137424,1.0,0.22499999999999998,42000
B24,B28,2 Al,0.17029386365926394,3.2179912478637254e-09,0.32,35000
B24,B28,4/0 Al,0.17029386365926394,3.675840456056678e-09,0.22499999999999998,42000
