bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B7,0,11,407.39373286808166,95.83725,36.43435861,12.03635061,0.0
B7,0,12,410.3131354593123,113.18775000000001,35.55509302,11.34741669,0.0
B7,0,13,407.88417195463023,98.10900000000001,36.09436909,11.71288948,0.0
B7,0,14,405.46901888987657,83.67524999999999,36.72452191,12.139746,0.0
B7,0,15,402.22774188644667,63.572250000000004,37.1780132,11.88368636,0.0
B7,0,16,397.3522803237147,34.73025,37.94327446,12.77323195,0.0
B7,0,17,392.8844464228006,8.38875,38.81429462,11.62313957,0.0
B7,0,18,391.3531959218777,0.0,39.02636404,9.930815849,0.0
B7,0,19,394.02068742164795,0.0,25.328702099999997,5.182385759,0.0
B7,0,20,395.9225050870711,0.0,16.6538996,1.335781531,0.0
B7,0,21,396.02398068319997,0.0,16.6538996,-1.361136025,0.0
B7,0,22,397.50375581712916,0.0,7.979097104999999,-2.147520978,0.0
B7,0,23,398.6438265641576,0.0,3.4899650080000004,-0.991467332,0.0
B7,0,24,399.07897991246847,0.0,3.3957113159999994,-0.958259443,0.0
