Date/Time,B1,B9,B30,B2,B3,B4,B5,B10,B11,B12,B13,B14,B15,B16,B20,B21,B22,B23,B24,B25,B31,B32,B33,B17,B26,B34,B6,B27,B7,B18,B35,B8,B28,B19,B29,B36
 02/25  15:00:00,0,0,0,37.01206777,12.88554196,1.086111324,7.943514251,9.267433293,18.53486659,18.53486659,3.530450778,5.295676168,7.943514251,10.59135234,3.971757126,7.060901557,7.943514251,12.35657772,7.060901557,12.35657772,5.295676168,14.41600735,8.826126946,0,0,0,0,0,11.88368636,8.488347401,11.81761242,4.058940925,1.278782105,0,0,0
 02/25  16:00:00,0,0,0,35.92083892,12.9598711,1.096827412,8.101760443,9.452053851,18.9041077,18.9041077,3.600782419,5.401173629,8.101760443,10.80234726,4.050880222,7.201564839,8.101760443,12.60273847,7.201564839,12.60273847,5.401173629,14.70319488,9.001956048,0,0,0,0,0,12.77323195,9.123737104,12.44602673,3.947732742,1.243745618,0,0,0
 02/25  17:00:00,0,0,0,33.81607683,12.7626683,1.091152503,9.211618304,10.74688802,21.49377604,21.49377604,4.09405258,6.141078869,9.211618304,12.28215774,4.605809152,8.188105159,9.211618304,14.32918403,8.188105159,14.32918403,6.141078869,16.71738137,10.23513145,0,0,0,0,0,11.62313957,8.302242552,11.07124581,4.496511428,1.416640069,0,0,0
 02/25  18:00:00,0,0,0,33.51928968,13.35932069,1.242628014,7.582284993,8.845999159,17.69199832,17.69199832,3.369904442,5.054856662,7.582284993,10.10971332,3.791142497,6.739808883,7.582284993,11.79466555,6.739808883,11.79466555,5.054856662,13.76044314,8.424761104,0,0,0,0,0,9.930815849,7.093439892,9.407875807,4.176986861,1.315972849,0,0,0
 02/25  19:00:00,0,0,0,18.2552985,14.94886521,1.049432375,8.45465751,9.863767095,19.72753419,19.72753419,3.75762556,5.63643834,8.45465751,11.27287668,4.227328755,7.51525112,8.45465751,13.15168946,7.51525112,13.15168946,5.63643834,15.3436377,9.3940639,0,0,0,0,0,5.182385759,3.701704113,5.080401956,4.481600005,1.411942178,0,0,0
 02/25  20:00:00,0,0,0,22.34358042,6.67915526,0.424580318,7.675262097,8.954472446,17.90894489,17.90894489,3.411227598,5.116841398,7.675262097,10.2336828,3.837631048,6.822455197,7.675262097,11.93929659,6.822455197,11.93929659,5.116841398,13.92917936,8.528068996,0,0,0,0,0,1.335781531,0.954129665,0.949458557,5.104207859,1.608096741,0,0,0
 02/25  21:00:00,0,0,0,21.70277809,5.86017116,0.392653544,8.520393721,9.940459341,19.88091868,19.88091868,3.786841654,5.680262481,8.520393721,11.36052496,4.260196861,7.573683308,8.520393721,13.25394579,7.573683308,13.25394579,5.680262481,15.46293675,9.467104135,0,0,0,0,0,-1.361136025,-0.972240018,-0.96153976,7.1763188,2.26092181,0,0,0
 02/25  22:00:00,0,0,0,24.22217189,5.234582042,0.339869447,9.333137334,10.88866022,21.77732045,21.77732045,4.148061037,6.222091556,9.333137334,12.44418311,4.666568667,8.296122075,9.333137334,14.51821363,8.296122075,14.51821363,6.222091556,16.9379159,10.37015259,0,0,0,0,0,-2.147520978,-1.533943556,-3.166396706,8.531288084,2.687809145,0,0,0
 02/25  23:00:00,0,0,0,22.57656784,3.16546992,0.168328504,9.208331452,10.74305336,21.48610672,21.48610672,4.092591757,6.138887635,9.208331452,12.27777527,4.604165726,8.185183513,9.208331452,14.32407115,8.185183513,14.32407115,6.138887635,16.71141634,10.23147939,0,0,0,0,0,-0.991467332,-0.708190951,-3.342250501,9.124372283,2.874662187,0,0,0
 02/25  24:00:00,0,0,0,27.19986941,1.691943895,0.069305238,9.248499899,10.78991655,21.5798331,21.5798331,4.1104444,6.1656666,9.248499899,12.3313332,4.62424995,8.2208888,9.248499899,14.3865554,8.2208888,14.3865554,6.1656666,16.78431463,10.276111,0,0,0,0,0,-0.958259443,-0.684471031,-3.319968831,8.833851459,2.761726554,0,0,0
